Rank,Domain,Domain_URL,IP_Address,IP_Address_URL,Location,Owner,Owner_URL,Last_Update,Source_URL,Scraped_At,Unique_ID
No,Web Site,,Website IP Address,,Web Hosting Company / IP Owner,Web Hosting / Server IP Location,,Web Hosting City,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,No-Web-Site
255101,freedomindustries.co,https://myip.ms/view/sites/7611402/freedomindustries.co,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255101-freedomindustries.co
255102,chasemycloud.com,https://myip.ms/view/sites/22705783/chasemycloud.com,23.227.38.65,https://myip.ms/info/whois/23.227.38.65,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255102-chasemycloud.com
255103,jaet.nl,https://myip.ms/view/sites/16533585/jaet.nl,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255103-jaet.nl
255104,naplax.com,https://myip.ms/view/sites/25298759/naplax.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255104-naplax.com
255105,testyourintolerance.ca,https://myip.ms/view/sites/22056532/testyourintolerance.ca,23.227.38.65,https://myip.ms/info/whois/23.227.38.65,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255105-testyourintolerance.ca
255106,spartles.com,https://myip.ms/view/sites/20544374/spartles.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,Ottawa,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.714Z,255106-spartles.com
255107,manore-paris.com,https://myip.ms/view/sites/25688119/manore-paris.com,23.227.38.36,https://myip.ms/info/whois/23.227.38.36,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.715Z,255107-manore-paris.com
255108,wallyourphotos.com,https://myip.ms/view/sites/24156536/wallyourphotos.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.715Z,255108-wallyourphotos.com
255109,afzalmart.com,https://myip.ms/view/sites/25307962/afzalmart.com,23.227.38.32,https://myip.ms/info/whois/23.227.38.32,"Shopify, Inc",Canada,https://myip.ms/view/best_hosting/CAN/Best_Hosting_in_Canada.html,,https://myip.ms/browse/sites/5103/rankii/15000000/ipID/23.227.38.0/ipIDii/23.227.38.255,2025-10-18T13:16:07.715Z,255109-afzalmart.com
